"Favorites list name: Journals_I_Published_In; Number of journals: 35"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total citations,Most recent JCR year,Most recent JIF,Most recent JCI,% of Citable OA
"JOURNAL OF NATURAL PRODUCTS","J NAT PROD","0163-3864","1520-6025","CHEMISTRY, MEDICINAL; PHARMACOLOGY & PHARMACY; PLANT SCIENCES","SCIE","28,912","2024","3.6","1.02","14.65%",
"JOURNAL OF MEDICINAL CHEMISTRY","J MED CHEM","0022-2623","1520-4804","CHEMISTRY, MEDICINAL","SCIE","94,448","2024","6.8","1.86","19.81%",
"Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology","J COMP PHYSIOL B","0174-1578","1432-136X","PHYSIOLOGY; ZOOLOGY","SCIE","3,909","2024","1.6","0.85","32.93%",
"JOURNAL OF CELLULAR AND MOLECULAR MEDICINE","J CELL MOL MED","1582-1838","1582-4934","MEDICINE, RESEARCH & EXPERIMENTAL; CELL BIOLOGY","SCIE","29,330","2024","4.2","0.86","86.00%",
"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","J AGR FOOD CHEM","0021-8561","1520-5118","FOOD SCIENCE & TECHNOLOGY; AGRICULTURE, MULTIDISCIPLINARY; CHEMISTRY, APPLIED","SCIE","152,778","2024","6.2","1.29","8.32%",
"International Journal of Environmental Research and Public Health","INT J ENV RES PUB HE","N/A","1660-4601","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; ENVIRONMENTAL SCIENCES; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","123,105","2021","4.614","0.93","96.11%",
"Frontiers in Physiology","FRONT PHYSIOL","N/A","1664-042X","PHYSIOLOGY","SCIE","62,055","2024","3.4","1.04","99.44%",
"Frontiers in Pharmacology","FRONT PHARMACOL","N/A","1663-9812","PHARMACOLOGY & PHARMACY","SCIE","105,990","2024","4.8","1.12","99.47%",
"FREE RADICAL BIOLOGY AND MEDICINE","FREE RADICAL BIO MED","0891-5849","1873-4596","BIOCHEMISTRY & MOLECULAR BIOLOGY; ENDOCRINOLOGY & METABOLISM","SCIE","53,590","2024","8.2","1.71","30.53%",
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY","COMP BIOCHEM PHYS A","1095-6433","1531-4332","PHYSIOLOGY; ZOOLOGY; BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","10,385","2024","2.2","0.87","24.73%",
"Biomolecules","BIOMOLECULES","N/A","2218-273X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","49,667","2024","4.8","0.75","99.96%",
"BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION","BIOCHEM MOL BIOL EDU","1470-8175","1539-3429","BIOCHEMISTRY & MOLECULAR BIOLOGY; EDUCATION, SCIENTIFIC DISCIPLINES","SCIE","1,564","2024","0.9","0.37","30.34%",
"AMINO ACIDS","AMINO ACIDS","0939-4451","1438-2199","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","10,439","2024","2.4","0.56","40.89%",
"ANALYTICAL BIOCHEMISTRY","ANAL BIOCHEM","0003-2697","1096-0309","CHEMISTRY, ANALYTICAL; BIOCHEMISTRY & MOLECULAR BIOLOGY; BIOCHEMICAL RESEARCH METHODS","SCIE","33,442","2024","2.5","0.65","14.88%",
"Agriculture-Basel","AGRICULTURE-BASEL","N/A","2077-0472","AGRONOMY","SCIE","28,429","2024","3.6","1.08","99.99%",
"ACS Omega","ACS OMEGA","2470-1343","2470-1343","CHEMISTRY, MULTIDISCIPLINARY","SCIE","97,713","2024","4.3","0.68","97.70%",
"Advanced Materials Technologies","ADV MATER TECHNOL-US","2365-709X","2365-709X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","23,748","2024","6.2","0.89","29.15%",
"ESTUARINE COASTAL AND SHELF SCIENCE","ESTUAR COAST SHELF S","0272-7714","1096-0015","OCEANOGRAPHY; MARINE & FRESHWATER BIOLOGY","SCIE","20,524","2024","2.6","0.90","32.03%",
"MOLECULES","MOLECULES","N/A","1420-3049","BIOCHEMISTRY & MOLECULAR BIOLOGY; CHEMISTRY, MULTIDISCIPLINARY","SCIE","236,779","2024","4.6","0.72","99.97%",
"INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY","INSECT BIOCHEM MOLEC","0965-1748","1879-0240","BIOCHEMISTRY & MOLECULAR BIOLOGY; ENTOMOLOGY","SCIE","9,240","2024","3.7","1.25","21.35%",
"Cancer Nanotechnology","CANCER NANOTECHNOL","1868-6958","1868-6966","ONCOLOGY; NANOSCIENCE & NANOTECHNOLOGY","SCIE","1,343","2024","4.8","0.91","100.00%",
"Antioxidants","ANTIOXIDANTS-BASEL","N/A","2076-3921","CHEMISTRY, MEDICINAL; FOOD SCIENCE & TECHNOLOGY; BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","67,105","2024","6.6","1.19","99.97%",

Copyright (c) 2025 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
